15
Device Source:1001	USB2+H14197
Integration Begin:1002	350,00
Integration End:1003	800,00
Method:1004	Uses the classic Rectangular method for integration.
Moles of Photons:1013	1,7272E-12
PAR uMoles/m²/sec:1015	5,1920E2
PAR uMoles:1014	1,3447E-6
Photons/cm²/sec:1011	4,0162E16
Total Photons:1012	1,0401E12
dBm:1009	-1,8045E1
eV:1010	2,0178E12
uJoule/cm²:1007	2,5728E2
uJoule:1005	3,2330E-1
uWatt/cm²:1008	1,2483E4
uWatt:1006	1,5686E1

Data from actinica_AbsoluteIrradiance_10-11-17-910.txt Node
Date: Wed Jun 05 10:11:17 UYT 2019
User: fenotipado
Spectrometer: USB2+H14197
Trigger mode: 0
Integration Time (sec): 2,061000E-2
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
189,495	0
189,878	0
190,26	0
190,643	0
191,025	0
191,407	0
191,79	0
192,172	-0
192,554	0
192,936	-0
193,319	-0
193,701	0
194,083	0
194,465	-0
194,847	-0
195,229	0
195,611	0
195,993	0
196,375	-0
196,757	0
197,139	-0
197,521	-0
197,903	-0
198,285	0
198,666	-0
199,048	0
199,43	0
199,812	0
200,193	0
200,575	0
200,957	-0
201,338	0
201,72	-0
202,101	0
202,483	0
202,864	0
203,245	-0
203,627	-0
204,008	-0
204,39	0
204,771	0
205,152	-0
205,533	-0
205,915	0
206,296	-0
206,677	0
207,058	0
207,439	0
207,82	-0
208,201	-0
208,582	0
208,963	0
209,344	-0
209,725	0
210,106	-0
210,487	0
210,867	-0
211,248	0
211,629	-0
212,01	0
212,39	0
212,771	0
213,152	-0
213,532	-0
213,913	-0
214,293	-0
214,674	-0
215,054	0
215,435	0
215,815	-0
216,195	-0
216,576	-0
216,956	-0
217,336	-0
217,717	0
218,097	-0
218,477	0
218,857	-0
219,237	0
219,617	0
219,997	0
220,377	0
220,757	0
221,137	-0
221,517	-0
221,897	0
222,277	-0
222,657	0
223,037	-0
223,416	0
223,796	0
224,176	0
224,556	0
224,935	0
225,315	0
225,694	0
226,074	0
226,454	-0
226,833	0
227,212	0
227,592	-0
227,971	0
228,351	0
228,73	0
229,109	-0
229,489	0
229,868	0
230,247	-0
230,626	0
231,005	0
231,384	0
231,764	-0
232,143	0
232,522	0
232,901	0
233,28	0
233,659	0
234,037	0
234,416	0
234,795	0
235,174	0
235,553	0
235,931	0
236,31	0
236,689	-0
237,067	-0
237,446	-0
237,825	0
238,203	0
238,582	0
238,96	0
239,339	0
239,717	0
240,095	0
240,474	0
240,852	-0
241,23	-0
241,609	-0
241,987	0
242,365	-0
242,743	0
243,121	0
243,499	-0
243,877	0
244,256	-0
244,634	-0
245,011	-0
245,389	0
245,767	-0
246,145	0
246,523	-0
246,901	0
247,279	0
247,656	0
248,034	0
248,412	0
248,789	-0
249,167	0
249,545	0
249,922	0
250,3	-0
250,677	-0
251,055	-0
251,432	-0
251,809	0
252,187	0
252,564	0
252,941	0
253,319	0
253,696	-0
254,073	0
254,45	0
254,827	-0
255,204	0
255,582	0
255,959	0
256,336	0
256,713	0
257,089	0
257,466	0
257,843	-0
258,22	0
258,597	0
258,974	-0
259,35	0
259,727	0
260,104	-0
260,48	0
260,857	0
261,234	0
261,61	0
261,987	-0
262,363	-0
262,74	0
263,116	-0
263,492	-0
263,869	0
264,245	0
264,621	-0
264,998	0
265,374	-0
265,75	-0
266,126	0
266,502	0
266,878	0
267,254	0
267,631	0
268,007	0
268,382	-0
268,758	-0
269,134	0
269,51	0
269,886	0
270,262	0
270,638	0
271,013	0
271,389	-0
271,765	0
272,14	0
272,516	0
272,891	0
273,267	-0
273,642	0
274,018	0
274,393	0
274,769	0
275,144	0
275,519	-0
275,895	0
276,27	0
276,645	0
277,02	-0
277,396	0
277,771	0
278,146	-0
278,521	0
278,896	0
279,271	0
279,646	0
280,021	0
280,396	0
280,771	-0
281,145	0
281,52	-0
281,895	-0
282,27	-0
282,644	0
283,019	0
283,394	-0
283,768	0
284,143	0
284,517	-0
284,892	0
285,266	-0
285,641	0
286,015	0
286,39	0
286,764	0
287,138	0
287,513	0
287,887	0
288,261	0
288,635	-0
289,009	0
289,383	0
289,757	0
290,132	-0
290,506	0
290,879	-0
291,253	0
291,627	0
292,001	0
292,375	0
292,749	0
293,123	0
293,496	-0
293,87	0
294,244	0
294,617	0
294,991	0
295,364	0
295,738	0
296,111	0
296,485	-0
296,858	0
297,232	-0
297,605	-0
297,978	0
298,352	0
298,725	0
299,098	0
299,471	0
299,845	0
300,218	0
300,591	0
300,964	-0
301,337	0
301,71	0
302,083	0
302,456	-0
302,829	0
303,202	0
303,574	-0
303,947	-0
304,32	-0
304,693	0
305,065	-0
305,438	0
305,811	-0
306,183	0
306,556	0
306,928	0
307,301	0
307,673	0
308,045	0
308,418	0
308,79	0
309,163	0
309,535	0
309,907	0
